zip_code,veh_type_1,num_persons_injured,num_persons_killed,num_pedestrians_injured,num_pedestrians_killed,num_cyclist_injured,num_cyclist_killed,num_motorist_injured,num_motorist_killed
10000.0,BUS,0.0,0.0,0,0,0,0,0,0
10000.0,COMM_TRUCK,3.0,0.0,0,0,1,0,2,0
10000.0,CYCLES,48.0,0.0,5,0,42,0,1,0
10000.0,OTHER,1.0,0.0,0,0,1,0,0,0
10000.0,PASSENGER_VEHICLE,8.0,0.0,0,0,0,0,8,0
10000.0,PASS_TRUCK,0.0,0.0,0,0,0,0,0,0
10000.0,SEDAN,5.0,0.0,0,0,1,0,4,0
10000.0,SUBURBAN,12.0,0.0,0,0,0,0,12,0
10000.0,TAXI,11.0,0.0,0,0,1,0,10,0
10001.0,BUS,35.0,0.0,18,0,2,0,15,0
10001.0,COMM_TRUCK,25.0,1.0,10,1,2,0,13,0
10001.0,CONV,0.0,0.0,0,0,0,0,0,0
10001.0,CYCLES,77.0,2.0,24,0,45,1,8,1
10001.0,EMERGENCY,2.0,0.0,1,0,0,0,1,0
10001.0,OTHER,28.0,0.0,13,0,5,0,10,0
10001.0,PASSENGER_VEHICLE,241.0,0.0,92,0,33,0,116,0
10001.0,PASS_TRUCK,53.0,0.0,30,0,4,0,19,0
10001.0,SEDAN,76.0,0.0,30,0,12,0,34,0
10001.0,SUBURBAN,133.0,0.0,57,0,13,0,63,0
10001.0,TAXI,240.0,0.0,76,0,61,0,103,0
10002.0,BUS,25.0,2.0,7,2,1,0,17,0
10002.0,COMM_TRUCK,25.0,1.0,5,1,7,0,13,0
10002.0,CONV,6.0,0.0,0,0,0,0,6,0
10002.0,CYCLES,144.0,1.0,29,1,99,0,16,0
10002.0,EMERGENCY,1.0,0.0,1,0,0,0,0,0
10002.0,OTHER,31.0,0.0,16,0,7,0,8,0
10002.0,PASSENGER_VEHICLE,573.0,0.0,132,0,98,0,343,0
10002.0,PASS_TRUCK,56.0,0.0,22,0,14,0,20,0
10002.0,SEDAN,137.0,1.0,38,1,21,0,78,0
10002.0,SUBURBAN,346.0,2.0,114,2,70,0,162,0
10002.0,TAXI,172.0,0.0,50,0,41,0,81,0
10003.0,BUS,19.0,1.0,6,1,4,0,9,0
10003.0,COMM_TRUCK,20.0,0.0,8,0,3,0,9,0
10003.0,CONV,0.0,0.0,0,0,0,0,0,0
10003.0,CYCLES,120.0,0.0,28,0,84,0,8,0
10003.0,EMERGENCY,1.0,0.0,1,0,0,0,0,0
10003.0,OTHER,13.0,1.0,6,1,6,0,1,0
10003.0,PASSENGER_VEHICLE,263.0,1.0,103,0,56,1,104,0
10003.0,PASS_TRUCK,45.0,0.0,19,0,13,0,13,0
10003.0,SEDAN,64.0,1.0,24,1,16,0,25,0
10003.0,SUBURBAN,130.0,1.0,48,1,33,0,49,0
10003.0,TAXI,251.0,0.0,72,0,80,0,99,0
10004.0,BUS,12.0,1.0,2,1,0,0,10,0
10004.0,COMM_TRUCK,4.0,0.0,1,0,0,0,3,0
10004.0,CONV,0.0,0.0,0,0,0,0,0,0
10004.0,CYCLES,10.0,0.0,1,0,1,0,8,0
10004.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10004.0,OTHER,3.0,0.0,1,0,1,0,1,0
10004.0,PASSENGER_VEHICLE,42.0,0.0,13,0,1,0,28,0
10004.0,PASS_TRUCK,7.0,0.0,6,0,0,0,1,0
10004.0,SEDAN,10.0,0.0,3,0,2,0,5,0
10004.0,SUBURBAN,36.0,0.0,13,0,2,0,21,0
10004.0,TAXI,15.0,0.0,5,0,3,0,7,0
10005.0,BUS,2.0,0.0,2,0,0,0,0,0
10005.0,COMM_TRUCK,3.0,0.0,1,0,1,0,1,0
10005.0,CYCLES,4.0,0.0,2,0,1,0,1,0
10005.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10005.0,OTHER,5.0,0.0,2,0,1,0,2,0
10005.0,PASSENGER_VEHICLE,37.0,0.0,14,0,8,0,15,0
10005.0,PASS_TRUCK,2.0,0.0,0,0,2,0,0,0
10005.0,SEDAN,8.0,0.0,6,0,2,0,0,0
10005.0,SUBURBAN,13.0,0.0,7,0,3,0,3,0
10005.0,TAXI,18.0,0.0,6,0,9,0,3,0
10006.0,BUS,4.0,0.0,1,0,1,0,2,0
10006.0,COMM_TRUCK,1.0,0.0,0,0,0,0,1,0
10006.0,CYCLES,13.0,0.0,1,0,11,0,1,0
10006.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10006.0,OTHER,1.0,0.0,1,0,0,0,0,0
10006.0,PASSENGER_VEHICLE,46.0,0.0,6,0,8,0,32,0
10006.0,PASS_TRUCK,8.0,0.0,4,0,0,0,4,0
10006.0,SEDAN,5.0,0.0,2,0,0,0,3,0
10006.0,SUBURBAN,15.0,0.0,7,0,0,0,8,0
10006.0,TAXI,20.0,0.0,2,0,7,0,11,0
10007.0,BUS,7.0,0.0,4,0,2,0,1,0
10007.0,COMM_TRUCK,9.0,0.0,2,0,1,0,6,0
10007.0,CONV,0.0,0.0,0,0,0,0,0,0
10007.0,CYCLES,40.0,0.0,12,0,24,0,4,0
10007.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10007.0,OTHER,8.0,0.0,6,0,0,0,2,0
10007.0,PASSENGER_VEHICLE,131.0,1.0,36,0,21,1,74,0
10007.0,PASS_TRUCK,12.0,0.0,6,0,2,0,4,0
10007.0,SEDAN,48.0,0.0,17,0,7,0,24,0
10007.0,SUBURBAN,79.0,0.0,28,0,12,0,38,0
10007.0,TAXI,57.0,0.0,21,0,14,0,22,0
10009.0,BUS,4.0,0.0,2,0,0,0,2,0
10009.0,COMM_TRUCK,11.0,0.0,3,0,1,0,7,0
10009.0,CONV,1.0,0.0,0,0,0,0,1,0
10009.0,CYCLES,56.0,1.0,8,0,44,1,4,0
10009.0,EMERGENCY,1.0,0.0,1,0,0,0,0,0
10009.0,OTHER,11.0,0.0,8,0,3,0,0,0
10009.0,PASSENGER_VEHICLE,182.0,0.0,55,0,37,0,90,0
10009.0,PASS_TRUCK,17.0,0.0,7,0,2,0,8,0
10009.0,SEDAN,49.0,0.0,10,0,10,0,29,0
10009.0,SUBURBAN,119.0,0.0,47,0,28,0,45,0
10009.0,TAXI,129.0,0.0,49,0,37,0,43,0
10010.0,BUS,18.0,1.0,12,1,1,0,5,0
10010.0,COMM_TRUCK,10.0,0.0,4,0,2,0,4,0
10010.0,CONV,1.0,0.0,0,0,0,0,1,0
10010.0,CYCLES,77.0,0.0,11,0,59,0,7,0
10010.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10010.0,OTHER,21.0,0.0,10,0,7,0,4,0
10010.0,PASSENGER_VEHICLE,213.0,1.0,64,1,30,0,119,0
10010.0,PASS_TRUCK,39.0,0.0,18,0,9,0,12,0
10010.0,SEDAN,62.0,0.0,15,0,11,0,36,0
10010.0,SUBURBAN,179.0,0.0,59,0,27,0,93,0
10010.0,TAXI,167.0,0.0,43,0,47,0,77,0
10011.0,BUS,7.0,0.0,4,0,1,0,2,0
10011.0,COMM_TRUCK,32.0,0.0,14,0,4,0,14,0
10011.0,CONV,1.0,0.0,0,0,1,0,0,0
10011.0,CYCLES,72.0,0.0,18,0,41,0,11,0
10011.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10011.0,OTHER,11.0,0.0,4,0,3,0,4,0
10011.0,PASSENGER_VEHICLE,211.0,1.0,57,0,44,0,110,1
10011.0,PASS_TRUCK,17.0,1.0,3,1,5,0,9,0
10011.0,SEDAN,59.0,0.0,17,0,13,0,29,0
10011.0,SUBURBAN,139.0,0.0,52,0,31,0,56,0
10011.0,TAXI,211.0,0.0,70,0,49,0,92,0
10012.0,BUS,4.0,0.0,2,0,2,0,0,0
10012.0,COMM_TRUCK,10.0,0.0,3,0,5,0,2,0
10012.0,CONV,0.0,0.0,0,0,0,0,0,0
10012.0,CYCLES,74.0,0.0,16,0,50,0,8,0
10012.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10012.0,OTHER,17.0,0.0,8,0,6,0,3,0
10012.0,PASSENGER_VEHICLE,172.0,0.0,51,0,34,0,87,0
10012.0,PASS_TRUCK,31.0,0.0,8,0,13,0,10,0
10012.0,SEDAN,54.0,0.0,14,0,6,0,34,0
10012.0,SUBURBAN,117.0,0.0,37,0,24,0,57,0
10012.0,TAXI,117.0,0.0,33,0,29,0,55,0
10013.0,BUS,13.0,1.0,5,1,1,0,7,0
10013.0,COMM_TRUCK,16.0,2.0,7,1,0,1,9,0
10013.0,CONV,3.0,0.0,1,0,0,0,2,0
10013.0,CYCLES,69.0,1.0,18,0,44,1,7,0
10013.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10013.0,OTHER,22.0,0.0,14,0,4,0,4,0
10013.0,PASSENGER_VEHICLE,315.0,0.0,97,0,37,0,181,0
10013.0,PASS_TRUCK,34.0,0.0,12,0,4,0,18,0
10013.0,SEDAN,116.0,1.0,27,0,16,0,76,1
10013.0,SUBURBAN,221.0,0.0,74,0,34,0,113,0
10013.0,TAXI,129.0,1.0,35,1,27,0,67,0
10014.0,BUS,2.0,0.0,0,0,1,0,1,0
10014.0,COMM_TRUCK,12.0,0.0,2,0,1,0,9,0
10014.0,CONV,0.0,0.0,0,0,0,0,0,0
10014.0,CYCLES,25.0,0.0,5,0,15,0,5,0
10014.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10014.0,OTHER,6.0,0.0,3,0,2,0,1,0
10014.0,PASSENGER_VEHICLE,124.0,0.0,40,0,17,0,67,0
10014.0,PASS_TRUCK,11.0,0.0,3,0,4,0,4,0
10014.0,SEDAN,19.0,0.0,5,0,2,0,14,0
10014.0,SUBURBAN,87.0,0.0,22,0,3,0,62,0
10014.0,TAXI,87.0,0.0,32,0,15,0,39,0
10016.0,BUS,23.0,0.0,11,0,2,0,10,0
10016.0,COMM_TRUCK,30.0,0.0,12,0,6,0,12,0
10016.0,CONV,3.0,0.0,3,0,0,0,0,0
10016.0,CYCLES,80.0,0.0,23,0,49,0,8,0
10016.0,EMERGENCY,1.0,0.0,0,0,0,0,1,0
10016.0,OTHER,36.0,0.0,16,0,14,0,6,0
10016.0,PASSENGER_VEHICLE,441.0,2.0,138,1,43,0,262,1
10016.0,PASS_TRUCK,79.0,1.0,38,1,12,0,29,0
10016.0,SEDAN,107.0,0.0,28,0,19,0,60,0
10016.0,SUBURBAN,346.0,0.0,109,0,54,0,182,0
10016.0,TAXI,328.0,2.0,107,2,61,0,160,0
10017.0,BUS,26.0,0.0,4,0,6,0,16,0
10017.0,COMM_TRUCK,7.0,0.0,3,0,2,0,2,0
10017.0,CONV,0.0,0.0,0,0,0,0,0,0
10017.0,CYCLES,61.0,0.0,12,0,40,0,9,0
10017.0,EMERGENCY,1.0,0.0,0,0,1,0,0,0
10017.0,OTHER,18.0,0.0,9,0,4,0,5,0
10017.0,PASSENGER_VEHICLE,229.0,1.0,56,1,40,0,133,0
10017.0,PASS_TRUCK,24.0,0.0,13,0,1,0,10,0
10017.0,SEDAN,58.0,0.0,17,0,4,0,37,0
10017.0,SUBURBAN,171.0,0.0,66,0,20,0,85,0
10017.0,TAXI,175.0,0.0,55,0,34,0,86,0
10018.0,BUS,16.0,0.0,9,0,1,0,6,0
10018.0,COMM_TRUCK,21.0,1.0,8,1,1,0,12,0
10018.0,CONV,0.0,0.0,0,0,0,0,0,0
10018.0,CYCLES,46.0,0.0,14,0,29,0,3,0
10018.0,EMERGENCY,0.0,0.0,0,0,0,0,0,0
10018.0,OTHER,15.0,0.0,11,0,2,0,2,0
10018.0,PASSENGER_VEHICLE,170.0,1.0,54,1,21,0,95,0
10018.0,PASS_TRUCK,27.0,0.0,17,0,2,0,8,0
10018.0,SEDAN,37.0,0.0,17,0,5,0,15,0
10018.0,SUBURBAN,143.0,0.0,52,0,16,0,77,0
10018.0,TAXI,169.0,0.0,42,0,28,0,97,0
10019.0,BUS,15.0,1.0,9,1,3,0,3,0
10019.0,COMM_TRUCK,25.0,0.0,7,0,2,0,16,0
10019.0,CONV,0.0,0.0,0,0,0,0,0,0
10019.0,CYCLES,76.0,1.0,15,0,49,1,12,0
10019.0,EMERGENCY,1.0,0.0,1,0,0,0,0,0
10019.0,OTHER,12.0,0.0,4,0,5,0,3,0
10019.0,PASSENGER_VEHICLE,314.0,0.0,107,0,48,0,159,0
10019.0,PASS_TRUCK,46.0,0.0,24,0,10,0,12,0
